REGION      E

-6.769587363264548	-79.85543509548614
-6.765366372417927	-79.85842224513397
-6.761711501630812	-79.86066032105407
-6.760528404060738	-79.85877852287001
-6.759355483074337	-79.85621657143145
-6.770780613726835	-79.84550990539742

----------------------------------------

REGION    F

-6.776459622195506	-79.85944757233875
-6.772643538183086	-79.85898000358429
-6.770233769931291	-79.858641180816
-6.77140768252574	-79.84545576728624
-6.7766300843267775	-79.84608906874877
-6.779954129477678	-79.85444202014969
-6.781957021644605	-79.85823226564287
-6.778910015263368	-79.85999863621498
